BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 002e7dff.tga | original: 8x8 | ceil_p^2: 8x8 | hdc/mc: 16x16
[BP REMADE] 002e8486.tga | original: 148x16 | ceil_p^2: 256x16 | hdc/mc: 296x32
[BP REMADE] 002eb6f9.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
[BP REMADE] 002f0bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f1bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f2bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f3bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f4bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f5bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f6bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f7bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002f8bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 002fc581.tga | original: 16x12 | ceil_p^2: 16x16 | hdc/mc: 32x24
[BP REMADE] 00304ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0030e529.tga | original: 18x12 | ceil_p^2: 32x16 | hdc/mc: 36x24
[BP REMADE] 0030f164.tga | original: 148x16 | ceil_p^2: 256x16 | hdc/mc: 296x32
[BP REMADE] 0030fbd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00310ae2.tga | original: 120x12 | ceil_p^2: 128x16 | hdc/mc: 240x24
[BP REMADE] 00310bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00311bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00312bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00313bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00314bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 003155d8.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
[BP REMADE] 00315bd0.tga | original: 64x24 | ceil_p^2: 64x32 | hdc/mc: 128x48
[BP REMADE] 00316bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00317bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00318bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0031ead8.tga | original: 32x32 | ceil_p^2: 32x32 | hdc/mc: 64x64
[BP REMADE] 00324ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0032ead8.tga | original: 32x32 | ceil_p^2: 32x32 | hdc/mc: 64x64
[BP REMADE] 0032fbd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00330bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00331bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00332bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00333bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00334bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00335bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00336bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00337bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00338bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00344ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 0034852b.tga | original: 40x16 | ceil_p^2: 64x16 | hdc/mc: 80x32
[BP REMADE] 0034fbd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00350bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00351bd0.tga | original: 32x24 | ceil_p^2: 32x32 | hdc/mc: 64x48
[BP REMADE] 00352bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00353bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00354bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00355bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00356bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00357bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 003587ad.tga | original: 56x52 | ceil_p^2: 64x64 | hdc/mc: 112x104
[BP REMADE] 00358bd0.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00364ad1.tga | original: 24x24 | ceil_p^2: 32x32 | hdc/mc: 48x48
[BP REMADE] 00367807.tga | original: 8x88 | ceil_p^2: 8x128 | hdc/mc: 16x176
