texture_name,sha1,subfolder_1,subfolder_2,filename
199494,703cb0ee86bd584e09e6e36f696d3f75daf44c09,tr02a,715d80,199494.png
199494,703cb0ee86bd584e09e6e36f696d3f75daf44c09,tr03a,715d80,199494.png
199494,703cb0ee86bd584e09e6e36f696d3f75daf44c09,tr04a,715d80,199494.png
199494,703cb0ee86bd584e09e6e36f696d3f75daf44c09,tr05a,715d80,199494.png
19f8d2,80c4270bb3a4e30d2a3ecac7741b652ec71035d1,tr01a,573de0,19f8d2.png
19f8d2,80c4270bb3a4e30d2a3ecac7741b652ec71035d1,tr02a,573de0,19f8d2.png
19f8d2,80c4270bb3a4e30d2a3ecac7741b652ec71035d1,tr03a,573de0,19f8d2.png
19f8d2,80c4270bb3a4e30d2a3ecac7741b652ec71035d1,tr04a,573de0,19f8d2.png
1a13ef,98ca3cee01572d1d6229d9ff8e02f3ef03ec0c6c,tr02a,9a4768,1a13ef.png
1a5b53,f406b51b90cc56c9dd7922159d18751efcd9d279,tr01a,9e05c5,1a5b53.png
1a5b53,f406b51b90cc56c9dd7922159d18751efcd9d279,tr02a,9e05c5,1a5b53.png
1a5b53,f406b51b90cc56c9dd7922159d18751efcd9d279,tr03a,9e05c5,1a5b53.png
1a5b53,f406b51b90cc56c9dd7922159d18751efcd9d279,tr05a,9e05c5,1a5b53.png
1a8572,6c6a93a1fff0e860b363f5a0d8ccd284a430eb43,tr05a,550af9,1a8572.png
1a8f18,28b5822de2198cf4737803bd388d35b7862af441,tr03a,aa4688,1a8f18.png
1abaa5,3b5f6c903346642ede19c5e27bf82092d798f2a2,r_vr_b,a2cb54,1abaa5.png
1abaa5,3b5f6c903346642ede19c5e27bf82092d798f2a2,r_vr_r,a2cb54,1abaa5.png
1abaa5,3b5f6c903346642ede19c5e27bf82092d798f2a2,r_vr_s,a2cb54,1abaa5.png
1b13ef,194ea02d99544de9e920652cc9719a624859ca8a,tr02a,9a4768,1b13ef.png
1b1f05,25f2da2c968c85f5dcb31c52ec2f43d59f1dbfc1,r_vr_b,18d0ef,1b1f05.png
1b1f05,25f2da2c968c85f5dcb31c52ec2f43d59f1dbfc1,r_vr_r,18d0ef,1b1f05.png
1b1f05,25f2da2c968c85f5dcb31c52ec2f43d59f1dbfc1,r_vr_r,31ead1,1b1f05.png
1b1f05,25f2da2c968c85f5dcb31c52ec2f43d59f1dbfc1,r_vr_s,18d0ef,1b1f05.png
1b5bd1,c9e66607730a0fa8423d174dabaa8839cc1b9115,r_vr_b,f5acc8,1b5bd1.png
1b5bd1,c9e66607730a0fa8423d174dabaa8839cc1b9115,r_vr_r,31ead4,1b5bd1.png
1b5bd1,c9e66607730a0fa8423d174dabaa8839cc1b9115,r_vr_r,f5acc8,1b5bd1.png
1b5bd1,c9e66607730a0fa8423d174dabaa8839cc1b9115,r_vr_s,f5acc8,1b5bd1.png
1b5e9a,591439cfacdaaba05b80595c8f17d20dbb156aa7,tr05a,f13930,1b5e9a.png
1b6cb4,a22b83c9f44acde19e309c1bb8785888b4d0a190,r_vr_b,a2cb54,1b6cb4.png
1b6cb4,a22b83c9f44acde19e309c1bb8785888b4d0a190,r_vr_r,a2cb54,1b6cb4.png
1b6cb4,a22b83c9f44acde19e309c1bb8785888b4d0a190,r_vr_s,a2cb54,1b6cb4.png
1b7235,b6a59b35714e86f2a37804e84a30be442ffcfbbe,r_vr_s,55aab4,1b7235.png
1b7301,40a01317c2d04eff82da01a637181b6f0308e86a,tr05a,550af9,1b7301.png
1b8f18,8e28f4f270d656c2931d2135b58d26c35bacd97c,tr03a,aa4688,1b8f18.png
1bb934,7730737d105e289952da68bdb887e9f5c1f8cd46,r_vr_b,a2cb54,1bb934.png
